;id;acc_[HSTrees];current_acc_[HSTrees];acc_[iForestASD];current_acc_[iForestASD];f1_[HSTrees];current_f1_[HSTrees];f1_[iForestASD];current_f1_[iForestASD];precision_[HSTrees];current_precision_[HSTrees];precision_[iForestASD];current_precision_[iForestASD];recall_[HSTrees];current_recall_[HSTrees];recall_[iForestASD];current_recall_[iForestASD];true_value;predicted_value_[HSTrees];predicted_value_[iForestASD];kappa_[HSTrees];current_kappa_[HSTrees];kappa_[iForestASD];current_kappa_[iForestASD];kappa_m_[HSTrees];current_kappa_m_[HSTrees];kappa_m_[iForestASD];current_kappa_m_[iForestASD];training_time_[HSTrees];testing_time_[HSTrees];total_running_time_[HSTrees];training_time_[iForestASD];testing_time_[iForestASD];total_running_time_[iForestASD];model_size_[HSTrees];model_size_[iForestASD];window;estimators;updates;Windows_Trees_set_up
8;9999;0.005101;0.005101;0.609661;0.609661;0;0;0.336668;0.336668;0;0;0.333333;0.333333;0;0;0.20322;0.20322;0;1;1;0;0;0;0;0;0;0;0;112.037069;5.992655;118.029724;7.202108;299.457742;306.65985;211202.452148;228.012695;50;30;0;W50__T30
6;9999;0.005101;0.005101;0.621162;0.621162;0;0;0.340585;0.340585;0;0;0.333333;0.333333;0;0;0.207054;0.207054;0;1;1;0;0;0;0;0;0;0;0;190.230604;9.049049;199.279652;12.970109;500.904331;513.87444;352002.163086;374.37207;50;50;0;W50__T50
1;9999;0.005101;0.005101;0.619162;0.619162;0;0;0.339908;0.339908;0;0;0.333333;0.333333;0;0;0.206387;0.206387;0;1;1;0;0;0;0;0;0;0;0;382.747393;16.190869;398.938263;31.224099;1000.751891;1031.97599;704001.393555;714.333008;50;100;0;W50__T100
11;9999;0.539054;0.539054;0.688169;0.688169;0;0;0.362349;0.362349;0;0;0.333333;0.333333;0;0;0.22939;0.22939;0;1;1;0;0;0;0;0;0;0;0;64.531902;12.706149;77.238051;8.978915;695.924313;704.903228;211202.616211;354.477539;100;30;0;W100__T30
7;9999;0.733973;0.733973;0.69597;0.69597;0;0;0.36477;0.36477;0;0;0.333333;0.333333;0;0;0.23199;0.23199;0;1;1;0;0;0;0;0;0;0;0;109.315221;20.352977;129.668197;15.897771;1146.416543;1162.314314;352002.299805;479.461914;100;50;0;W100__T50
3;9999;0.727873;0.727873;0.69647;0.69647;0;0;0.364925;0.364925;0;0;0.333333;0.333333;0;0;0.232157;0.232157;0;1;1;0;0;0;0;0;0;0;0;221.577537;38.995983;260.573521;41.603552;2275.832623;2317.436175;704001.50293;871.075195;100;100;0;W100__T100
9;9999;0.853185;0.853185;0.79688;0.79688;0;0;0.394204;0.394204;0;0;0.333333;0.333333;0;0;0.265627;0.265627;0;1;1;0;0;0;0;0;0;0;0;26.512387;14.164299;40.676686;13.369232;4291.556626;4304.925858;211227.03418;732.692383;500;30;0;W500__T30
10;9999;0.724572;0.724572;0.805681;0.805681;0;0;0.396615;0.396615;0;0;0.333333;0.333333;0;0;0.26856;0.26856;0;1;1;0;0;0;0;0;0;0;0;41.663317;21.780333;63.443649;22.546521;6994.657859;7017.20438;352043.124023;946.961914;500;50;0;W500__T50
2;9999;0.831683;0.831683;0.80098;0.80098;0;0;0.39533;0.39533;0;0;0.333333;0.333333;0;0;0.266993;0.266993;0;1;1;0;0;0;0;0;0;0;0;84.908773;43.236967;128.14574;43.45159;14199.831087;14243.282677;704083.370117;1623.829102;500;100;0;W500__T100
4;9999;0.806381;0.806381;0.785879;0.785879;0;0;0.391157;0.391157;0;0;0.333333;0.333333;0;0;0.26196;0.26196;0;1;1;0;0;0;0;0;0;0;0;19.325628;13.6111;32.936728;12.532979;8691.758496;8704.291475;211229.741211;1661.438477;1000;30;0;W1000__T30
0;9999;0.781878;0.781878;0.791479;0.791479;0;0;0.392713;0.392713;0;0;0.333333;0.333333;0;0;0.263826;0.263826;0;1;1;0;0;0;0;0;0;0;0;33.304136;20.781876;54.086011;21.018011;14679.187502;14700.205513;352051.026367;2268.442383;1000;50;0;W1000__T50
5;9999;0.806381;0.806381;0.794379;0.794379;0;0;0.393515;0.393515;0;0;0.333333;0.333333;0;0;0.264793;0.264793;0;1;1;0;0;0;0;0;0;0;0;67.89717;40.703999;108.601168;44.76561;29541.933874;29586.699484;704095.045898;3993.219727;1000;100;0;W1000__T100